SITE,SD_code,Notes,Recorders
2,116,,HLW/MUP
2,132,,HLW/MUP
2,144,,HLW/MUP
2,145,,HLW/MUP
2,150,,HLW/MUP
2,153,,HLW/MUP
2,158,,HLW/MUP
2,167,,HLW/MUP
2,168,,HLW/MUP
2,170,,HLW/MUP
2,171,,HLW/MUP
2,174,,HLW/MUP
2,178,,HLW/MUP
2,180,,HLW/MUP
2,181,,HLW/MUP
2,183,,HLW/MUP
2,188,,HLW/MUP
2,192,,HLW/MUP
2,193,,HLW/MUP
2,194,,HLW/MUP
2,195,,HLW/MUP
2,199,,HLW/MUP
2,201,,HLW/MUP
2,202,,HLW/MUP
2,204,,HLW/MUP
2,207,,HLW/MUP
2,213,,HLW/MUP
2,215,,HLW/MUP
2,222,,HLW/MUP
2,228,,HLW/MUP
2,232,,HLW/MUP
2,236,,HLW/MUP
3,3,,
3,5,,
3,6,,
3,8,,
3,10,,
3,11,,
3,12,,
3,18,,
3,123,,
3,129,,
3,131,,
3,132,,
3,140,,
3,143,,
3,145,,
3,149,,
3,151,,
3,153,,
3,156,,
3,157,,
3,158,,
3,161,,
3,163,,
3,167,,
3,168,,
3,182,,
3,183,,
3,188,,
3,192,,
3,195,,
3,202,,
3,204,,
3,207,,
3,209,,
3,221,,
3,236,,
3,240,,
4,8,,
4,13,,
4,16,,
4,30,,
4,33,,
4,34,,
4,35,,
4,36,,
4,39,,
4,40,,
4,44,,
4,45,,
4,49,,
4,51,,
4,52,,
4,53,,
4,54,,
4,55,,
4,56,,
4,57,,
4,59,,
4,61,,
4,62,,
4,63,,
4,64,,
4,65,,
4,73,,
4,74,,
4,80,,
4,84,,
4,105,,
4,112,,
4,113,,
4,114,,
4,129,,
4,138,,
4,141,,
4,144,,
4,149,,
4,150,,
4,151,,
4,155,,
4,156,,
4,161,,
4,167,,
4,170,,
4,171,,
4,172,,
4,178,,
4,179,,
4,180,,
4,181,,
4,183,,
4,192,,
4,193,,
4,194,,
4,195,,
4,196,,
4,197,,
4,199,,
4,201,,
4,206,,
4,207,,
4,208,,
4,210,,
4,211,,
4,221,,
4,229,,
4,231,,
4,236,,
4,238,,
4,3,,6  Recorder VH
5,5,,KAC/JES
5,6,,KAC/JES
5,8,,KAC/JES
5,11,,KAC/JES
5,13,,KAC/JES
5,15,,KAC/JES
5,16,,KAC/JES
5,21,,KAC/JES
5,30,,KAC/JES
5,34,,KAC/JES
5,35,,KAC/JES
5,36,,KAC/JES
5,43,,KAC/JES
5,45,,KAC/JES
5,48,,KAC/JES
5,50,,KAC/JES
5,51,,KAC/JES
5,53,,KAC/JES
5,54,,KAC/JES
5,55,,KAC/JES
5,56,,KAC/JES
5,57,,KAC/JES
5,58,,KAC/JES
5,59,,KAC/JES
5,61,,KAC/JES
5,62,,KAC/JES
5,63,,KAC/JES
5,64,,KAC/JES
5,70,,KAC/JES
5,71,,KAC/JES
5,84,,KAC/JES
5,106,,KAC/JES
5,113,,KAC/JES
5,114,,KAC/JES
5,116,,KAC/JES
5,117,,KAC/JES
5,126,,KAC/JES
5,132,,KAC/JES
5,144,,KAC/JES
5,145,,KAC/JES
5,153,,KAC/JES
5,155,,KAC/JES
5,157,,KAC/JES
5,158,,KAC/JES
5,167,,KAC/JES
5,168,,KAC/JES
