"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"66",14.5,14.83,24.64,23.06,11.95,13.52,11.67,23.75,23.21,0,45,11.65,7.5,7.5,11.18,10.73
"67",20.62,12.73,20.39,9.67,18.04,30.36,10.19,13.19,12.13,23.24,11.67,17.5,11.25,32.5,8.5,28.12
"68",9.64,15.95,15.5,14.4,21.94,13.7,13.35,9.5,23.17,24.38,30,11.59,26.67,17.83,13.33,12.94
"69",15.36,12.07,15.94,9.44,10.79,20,36.39,13.57,13.96,14.55,9.46,15.11,16.56,11.18,11.07,0
"70",9.3,11.32,18.33,11.91,7.5,10.83,9.25,16.73,50.5,49.17,57.5,11.54,16,32.5,7.5,28.27
"71",7.87,11.16,12.13,10.55,10.17,9.78,10.68,12.98,9.64,12.18,10.02,9.93,11.32,9.32,9.33,8.97
"72",42.5,30,33.75,10.24,24.17,16.15,26.5,45,42.5,36.25,32.5,30.42,39.17,17.5,21.88,50
"73",44.5,35.83,40.83,14,12.24,45.83,31.79,28.61,0,7.5,24.17,33.75,31.67,30.83,29.5,29.64
"74",9.44,42.5,23.89,21.56,23.27,30.62,25.5,32.5,42.5,27.5,0,0,16.94,11.58,0,0
"75",8.28,12.31,8.52,8.26,7.71,14.02,9.51,11.52,10.41,22.78,9.73,7.5,12.84,9.45,10.94,10.03
"76",0,0,7.5,7.79,0,0,7.5,7.5,57.5,23.5,42.5,48.75,0,44.17,27.5,0
"77",0,7.78,28.93,43.33,21.39,20.83,10.26,27.12,10.26,8.33,27.14,9.17,15.33,9.23,8.08,0
"78",20.18,7.98,8.53,8.5,11.3,24.64,23.45,26.79,35.83,29.42,23.12,7.5,13.44,11.5,28.06,24.5
"79",25.54,0,0,15.22,8.7,12.76,13.25,14.81,8.08,15.68,19.09,10.19,11.92,14.52,8.2,27.1
"80",13.31,15.32,12.92,13.35,10.91,19.31,13.22,12.55,10.83,11.51,0,12.5,13.39,7.56,12.67,23.68
"81",13.8,15.92,11.88,10.95,14.81,13.41,12.36,31.67,34.17,16.31,47.5,13.61,21.5,15.36,13.9,14.17
"82",36.25,27.5,43.5,31.67,32,27.5,0,39.17,47.5,23.86,55.83,45.36,27.14,36.88,35.83,34.17
"83",10.15,40,8.97,0,12.05,10.5,9.5,0,0,0,0,26.59,25.15,0,36.5,0
"84",20.25,23.5,15.91,19.62,16.61,18.15,17.26,30,8.12,25.83,25.38,31.67,0,8.87,10.2,45.83
"85",32.5,12.92,33.33,31.94,42.5,27.88,35.62,52.5,34.17,13.12,16.1,16.21,21.5,35.68,0,8.51
"86",12.68,22.29,27.5,29.38,9.4,18.93,38.21,9.04,7.5,44.5,24.5,34,36.79,36.5,49.17,20.44
"87",48.75,38.75,52.5,45.83,34.5,12.75,10.8,37.5,18.93,32.5,40,41.59,40.83,19.02,45,77.5
"88",9.03,11.54,9.34,15.15,10.04,11.72,10.18,11.77,15,11.85,13.28,15.39,8.78,35.36,27.5,11.18
"89",12.07,9.83,12.5,17.02,13.4,39.72,23.55,17.83,11.33,13.7,12.98,8.69,9.1,18.55,17.16,9.35
"90",12.61,0,16.5,16.3,11.64,12.02,18.5,14.48,17.5,16.79,12.19,21.67,11.47,21.62,12.78,13.96
"91",13.31,10.28,23.83,32.5,22.68,13.55,7.55,11.5,22.92,10.11,9.91,7.86,12.12,37.5,0,13.44
"92",11.94,9.65,11.35,11.12,15.23,10.57,9.7,9.2,10.8,11.12,10.6,9.32,11.92,8.86,9.55,18.75
"93",11.81,14.72,15,11.65,15.83,15.67,9.45,17.22,14.17,16.35,14.44,20.23,10.14,10.06,9.79,13.7
"94",10.95,11.72,20,8.57,11.79,10.38,8.88,13.26,12,19.17,13.97,8.75,9.36,12.78,11.94,23.75
"95",9.66,10.05,15.58,14.5,8.72,9.65,9.24,8.92,9.89,10.92,8.61,12.18,11,14.94,10.29,15.62
"96",20.83,13.95,13.4,9.42,10.59,12.85,16.22,15.67,12.25,19.33,12.06,12.19,9.98,11.6,13.38,10.04
"97",9.72,0,24.77,27.5,0,10.17,16.57,15.46,14.17,9.21,9.82,10.75,12.28,11.67,8.53,8.21
"98",8.75,7.5,7.65,19.17,13.9,14.44,9.87,0,19.42,13.47,0,0,16.25,8.24,17.5,23.5
"99",10.66,8.68,12.59,11.3,9.45,9.32,9.76,10.73,14.21,0,9.87,10.56,0,0,9.87,8.95
"100",9.88,13.75,10.68,15.31,33.06,27.5,17.5,16.29,14.81,18,11.54,23.5,35,22.5,26.25,13.41
"101",17.76,9.93,8.97,10.23,10,13.75,10.39,8.82,10.15,11.25,10.69,10.36,11.81,15.3,15.07,13.9
"102",10.79,10.92,12.72,9,10.68,8.95,12.88,11.35,52.5,19.89,11.06,9.47,15.21,9.15,13.28,14.41
"103",7.74,9.52,8.06,8.01,7.5,8.41,9.76,7.5,8.16,14.72,9.57,8.97,8.61,8.15,8.7,9.08
