"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"79",0.53,NA,NA,0.585,1.14,0.39,0.43,0.48,2.21,0.145,0.365,0.1,0.245,0.625,0.365,0.615
"80",1.135,1.205,0.25,0.64,1.135,0.605,0.815,0.975,0.05,0.91,NA,0.01,0.795,0.865,1.18,0.36
"81",0.52,0.51,0.6,0.355,0.16,0.12,0.365,0.175,0.38,0.29,0.18,0.1,0.19,0.27,0.65,0.035
"82",0.27,0.15,0.205,0.35,0.295,0.25,NA,0.22,0.18,0.235,0.16,0.3,0.345,0.275,0.3,0.285
"83",0.13,0.15,0.11,NA,0.21,0.08,0.07,NA,NA,NA,NA,0.265,0.385,NA,0.17,NA
"84",0.355,0.315,0.295,0.445,0.635,0.36,0.31,0.22,0.365,0.42,0.595,0.525,NA,0.395,0.285,0.13
"85",0.21,0.25,0.185,0.265,0.16,0.33,0.265,0.1,0.095,0.085,0.34,0.48,0.19,0.365,NA,0.445
"86",0.285,0.475,0.125,0.215,0.29,0.115,0.25,0.34,0.01,0.21,0.33,0.315,0.24,0.17,0.14,0.61
"87",0.185,0.145,0.2,0.13,0.16,0.205,0.78,0.175,0.46,0.3,0.3,0.43,0.345,0.38,0.17,0.075
"88",1.405,1.03,1.17,0.62,0.935,0.95,1.075,0.445,0.2,0.935,0.345,0.49,1.15,0.23,0.1,0.66
"89",0.335,0.315,0.45,0.305,0.425,0.335,0.4,0.23,0.865,0.28,0.66,0.13,0.865,0.305,0.425,0.575
"90",0.445,NA,0.49,0.345,0.32,0.295,0.24,0.575,0.405,0.6,0.31,0.345,0.35,0.325,0.545,0.275
"91",0.8,0.42,0.32,0.36,0.565,0.21,0.46,0.315,0.245,1.445,1.305,0.445,0.385,0.07,NA,0.755
"92",0.255,0.465,0.46,0.345,0.14,0.605,0.18,1.005,0.365,0.345,0.405,0.58,0.65,0.865,0.62,0.325
"93",0.54,0.33,0.2,0.75,0.44,0.395,0.73,0.265,0.63,0.36,0.8,0.39,0.68,0.59,0.605,0.605
"94",0.49,0.535,0.245,0.905,0.13,0.615,0.785,0.355,0.095,0.2,0.195,0.025,0.295,0.185,0.085,0.255
"95",0.48,0.725,0.51,0.48,0.485,1.08,1.22,1.04,0.805,0.615,0.825,0.6,0.935,0.56,0.545,0.525
"96",0.44,0.435,0.545,1.1,0.955,0.89,0.59,0.54,0.595,0.505,0.985,0.475,0.86,0.555,0.555,1.395
"97",0.635,NA,0.245,0.2,NA,0.23,0.38,0.635,0.07,0.275,0.3,0.33,0.225,0.055,0.205,0.04
"98",0.05,0.075,0.17,0.4,0.285,0.43,0.435,NA,0.44,0.395,NA,NA,0.11,0.195,0.105,0.105
"99",1.045,1.175,0.575,0.405,1.035,0.375,0.385,0.395,0.41,NA,0.7,0.87,NA,NA,1.15,1.82
"100",0.295,0.27,0.45,0.205,0.275,0.225,0.09,0.455,0.32,0.155,0.425,0.21,0.13,0.38,0.19,0.36
"101",0.29,0.55,0.595,0.85,0.54,0.36,1.01,0.24,0.505,0.455,0.475,0.715,0.475,0.32,0.44,0.57
"102",1.26,0.775,0.705,0.975,0.9,0.98,0.415,0.805,0.2,0.4,0.685,0.92,0.445,1.37,0.69,0.905
"103",1.395,1.235,0.65,0.865,0.14,1.04,0.69,0.04,0.3,0.11,0.82,1.235,0.605,2.35,1.55,1.02
