SITE,PLOT,NEST,COV,YR,Bryo,Codes,BRC names
14,2,2,0.5,2000,,920477,Chamerion angustifolium
14,2,2,5,2000,,920515,Cirsium arvense
14,2,2,0.5,2000,,920695,Epilobium montanum
14,2,2,1,2000,b,8201146,Eurhynchium sp.
14,2,2,1,2000,,200001593,Poa nemoralis/trivialis
14,2,2,0.5,2000,,920925,Geum urbanum
14,2,2,1,2000,,9201728,Rubus fruticosus agg.
14,2,2,0.5,2000,,920841,Fraxinus excelsior (c)
14,2,3,0.5,2000,,920918,Geranium robertianum
14,2,3,1,2000,,9201488,Plantago major
14,2,3,0.5,2000,,9201531,Polygonum lapathifolium
14,2,4,0.5,2000,,9201867,Scrophularia nodosa
14,2,4,0.5,2000,,9201899,Senecio jacobaea
14,2,4,0.5,2000,,9201947,Solanum dulcamara
14,2,4,0.5,2000,,920696,Epilobium obscurum
14,2,4,0.5,2000,,2000070,Cardamine hirsuta/flexuosa
14,2,4,0.5,2000,,920983,Holcus lanatus
14,2,4,0.5,2000,,9201495,Poa annua
14,2,5,0.5,2000,,9201741,Rumex conglomeratus
14,2,5,0.5,2000,,9202180,Veronica serpyllifolia
14,2,5,0.5,2000,,92039,Agrostis stolonifera
14,2,5,0.5,2000,,920412,Carex remota
14,2,5,0.5,2000,,920513,Circaea lutetiana
14,2,5,0.5,2000,,920522,Cirsium vulgare
14,2,5,0.5,2000,,920824,Festuca rubra agg.
14,2,5,0.5,2000,,920882,Galium palustre
14,2,5,0.5,2000,,9205,Acer pseudoplatanus
14,2,5,0.5,2000,,920692,Epilobium hirsutum
14,3,1,60,1971,,9201291,Mercurialis perennis
14,3,1,45,1971,,9201728,Rubus fruticosus agg.
14,3,1,1,1971,,920841,Fraxinus excelsior (c)
14,3,2,1,1971,,910665,Dryopteris filix-mas
14,3,2,1,1971,,200001583,Dryopteris dilatata/carthusiana
14,3,2,0.5,1971,,920952,Hedera helix
14,3,3,0.5,1971,,920513,Circaea lutetiana
14,3,4,0.5,1971,,9201899,Senecio jacobaea
14,3,4,0.5,1971,,910211,Athyrium filix-femina
14,3,4,0.5,1971,,920695,Epilobium montanum
14,3,5,0.5,1971,,920421,Carex sylvatica
14,3,5,0.5,1971,,920925,Geum urbanum
14,3,5,0.5,2000,,9201728,Rubus fruticosus agg.
14,3,5,0.5,2000,,9101619,Pteridium aquilinum
14,4,2,1,1971,,9201728,Rubus fruticosus agg.
14,4,3,0.5,1971,,9202032,Tamus communis
14,4,5,0.5,1971,,200001583,Dryopteris dilatata/carthusiana
14,4,5,0.5,1971,,910665,Dryopteris filix-mas
14,4,1,85,2000,,9201728,Rubus fruticosus agg.
14,4,2,1,2000,,200001583,Dryopteris dilatata/carthusiana
14,4,2,0.5,2000,,9201188,Lonicera periclymenum
14,4,3,0.5,2000,,920640,Digitalis purpurea
14,4,4,0.5,2000,,920477,Chamerion angustifolium
14,4,4,0.5,2000,b,8201146,Eurhynchium sp.
14,4,4,0.5,2000,b,820382,Mnium hornum
14,4,4,0.5,2000,,200001537,Atrichum sp.
14,5,2,0.5,1971,,200001583,Dryopteris dilatata/carthusiana
14,5,3,0.5,1971,,9201728,Rubus fruticosus agg.
14,5,1,80,2000,,9201728,Rubus fruticosus agg.
14,5,2,0.5,2000,,200001583,Dryopteris dilatata/carthusiana
14,5,2,0.5,2000,,920477,Chamerion angustifolium
14,5,4,0.5,2000,,200001537,Atrichum sp.
14,5,4,0.5,2000,b,820184,Dicranella heteromalla
14,5,4,0.5,2000,b,8201146,Eurhynchium sp.
14,6,3,0.5,1971,,200001583,Dryopteris dilatata/carthusiana
14,6,1,65,2000,,9201728,Rubus fruticosus agg.
14,6,1,1,2000,,9205194,Rhododendron spp.
14,6,2,1,2000,,200001583,Dryopteris dilatata/carthusiana
14,6,2,0.5,2000,b,8201146,Eurhynchium sp.
14,6,4,0.5,2000,b,820184,Dicranella heteromalla
14,6,4,0.5,2000,,200001537,Atrichum sp.
14,6,4,0.5,2000,,920477,Chamerion angustifolium
14,7,1,30,1971,,9201728,Rubus fruticosus agg.
14,7,1,1,1971,,200001583,Dryopteris dilatata/carthusiana
14,7,1,0.5,1971,,9205,Acer pseudoplatanus
14,7,1,0.5,1971,,920841,Fraxinus excelsior (c)
14,7,1,80,1971,,9101619,Pteridium aquilinum
14,7,2,0.5,1971,,9202034,Taraxacum agg.
14,7,2,0.5,1971,,920640,Digitalis purpurea
14,7,4,1,1971,,9201067,Juncus effusus
14,7,4,1,1971,,920695,Epilobium montanum
14,7,5,0.5,1971,,92046,Ajuga reptans
14,7,1,70,2000,,9201615,Prunus laurocerasus
14,7,5,0.5,2000,,9101619,Pteridium aquilinum
14,7,5,0.5,2000,,920841,Fraxinus excelsior (c)
14,8,1,1,1971,,9201728,Rubus fruticosus agg.
14,8,1,1,1971,,920687,Hyacinthoides non-scripta
14,8,1,1,1971,,200001583,Dryopteris dilatata/carthusiana
14,8,2,0.5,1971,,92046,Ajuga reptans
14,8,2,5,1971,,9101619,Pteridium aquilinum
14,8,3,0.5,1971,,9205,Acer pseudoplatanus
14,8,4,0.5,1971,,920841,Fraxinus excelsior (c)
14,8,4,0.5,1971,,920952,Hedera helix
14,8,4,0.5,1971,,920569,Crataegus monogyna
14,8,4,0.5,1971,,910665,Dryopteris filix-mas
14,8,5,0.5,1971,,9204446,Quercus seedling/sp
14,8,5,0.5,1971,,9204446,Quercus seedling/sp
14,8,2,1,2000,,9101619,Pteridium aquilinum
14,9,3,0.5,1971,,9101619,Pteridium aquilinum
14,9,1,0.5,2000,,9101619,Pteridium aquilinum
14,9,2,0.5,2000,,9201023,Ilex aquifolium
14,9,2,1,2000,,9205,Acer pseudoplatanus
14,9,3,0.5,2000,,920640,Digitalis purpurea
14,9,3,0.5,2000,,9201728,Rubus fruticosus agg.
14,9,5,0.5,2000,b,8201146,Eurhynchium sp.
14,9,5,0.5,2000,b,820382,Mnium hornum
14,10,1,1,1971,,9101619,Pteridium aquilinum
14,10,1,1,1971,,9201728,Rubus fruticosus agg.
14,10,1,1,1971,,920687,Hyacinthoides non-scripta
14,10,2,0.5,1971,,920513,Circaea lutetiana
14,10,2,0.5,1971,,920841,Fraxinus excelsior (c)
14,10,3,0.5,1971,,200001583,Dryopteris dilatata/carthusiana
14,10,4,0.5,1971,,92046,Ajuga reptans
14,10,4,0.5,1971,,9204446,Quercus seedling/sp
14,10,4,0.5,1971,,9204446,Quercus seedling/sp
14,10,4,0.5,1971,,920952,Hedera helix
14,10,5,0.5,1971,,9205,Acer pseudoplatanus
14,10,5,0.5,1971,,9201530,Persicaria hydropiper
14,10,5,0.5,1971,,920569,Crataegus monogyna
14,10,1,100,2000,,9201615,Prunus laurocerasus
14,11,2,1,1971,,9201728,Rubus fruticosus agg.
14,11,2,0.5,1971,,9201023,Ilex aquifolium
14,11,2,10,1971,,200001583,Dryopteris dilatata/carthusiana
14,11,4,0.5,1971,,920477,Chamerion angustifolium
14,11,1,0.5,2000,,9201728,Rubus fruticosus agg.
14,11,1,1,2000,b,820184,Dicranella heteromalla
14,11,1,1,2000,b,820351,Hypnum cupressiforme sens.lat.
14,11,1,0.5,2000,,9201788,Salix caprea
14,11,2,1,2000,b,8201146,Eurhynchium sp.
14,11,2,0.5,2000,,9101619,Pteridium aquilinum
14,11,2,0.5,2000,,920841,Fraxinus excelsior (c)
14,11,2,0.5,2000,,9204445,Betula seedling/sp
14,11,2,0.5,2000,,200001583,Dryopteris dilatata/carthusiana
14,12,1,25,1971,,9201728,Rubus fruticosus agg.
14,12,1,1,1971,,920513,Circaea lutetiana
14,12,1,1,1971,,200001583,Dryopteris dilatata/carthusiana
14,12,1,1,1971,,9202010,Stellaria holostea
14,12,1,55,1971,,9101619,Pteridium aquilinum
14,12,1,5,1971,,9201023,Ilex aquifolium
14,12,1,0.5,1971,,9201291,Mercurialis perennis
14,12,2,1,1971,,920250,Brachypodium sylvaticum
14,12,2,0.5,1971,,200001593,Poa nemoralis/trivialis
14,12,2,5,1971,,9202126,Urtica dioica
14,12,2,1,1971,,920687,Hyacinthoides non-scripta
14,12,2,1,1971,,9201188,Lonicera periclymenum
14,12,2,0.5,1971,,200001593,Poa nemoralis/trivialis
14,12,3,0.5,1971,,9201660,Ranunculus repens
14,12,3,0.5,1971,,9201488,Plantago major
14,12,4,0.5,1971,,920421,Carex sylvatica
14,12,4,0.5,1971,,9202172,Veronica montana
14,12,4,0.5,1971,,9201495,Poa annua
14,12,4,0.5,1971,,9201263,Melica uniflora
14,12,4,0.5,1971,,920918,Geranium robertianum
14,12,4,0.5,1971,,920816,Festuca gigantea
14,12,5,0.5,1971,,9202198,Vicia sepium
14,12,5,0.5,1971,,920841,Fraxinus excelsior (c)
14,12,5,0.5,1971,,910665,Dryopteris filix-mas
14,12,1,5,2000,,920952,Hedera helix
14,12,1,0.5,2000,,9204446,Quercus seedling/sp
14,12,1,1,2000,,9202122,Ulmus procera
14,12,1,1,2000,,920687,Hyacinthoides non-scripta
14,12,1,40,2000,,9201728,Rubus fruticosus agg.
14,12,2,5,2000,,9101619,Pteridium aquilinum
14,12,3,0.5,2000,,9201188,Lonicera periclymenum
14,12,4,0.5,2000,,9201705,Rosa seedling/sp
14,12,4,0.5,2000,,9201023,Ilex aquifolium
14,12,5,0.5,2000,b,8201147,Fissidens sp.
14,12,5,0.5,2000,,920250,Brachypodium sylvaticum
14,12,5,0.5,2000,,920569,Crataegus monogyna
14,12,5,0.5,2000,,9202172,Veronica montana
14,12,5,0.5,2000,b,8201146,Eurhynchium sp.
14,13,1,5,1971,,200001583,Dryopteris dilatata/carthusiana
14,13,1,35,1971,,9201728,Rubus fruticosus agg.
14,13,3,0.5,1971,,920640,Digitalis purpurea
14,13,5,0.5,1971,,920477,Chamerion angustifolium
14,13,5,1,2000,,9201728,Rubus fruticosus agg.
14,14,4,0.5,1971,,9201698,Robinia pseudoacacia
14,14,4,0.5,1971,,2000070,Cardamine hirsuta/flexuosa
14,14,4,0.5,1971,,9201660,Ranunculus repens
14,14,4,0.5,1971,,9201728,Rubus fruticosus agg.
14,14,4,0.5,1971,,9201530,Persicaria hydropiper
14,14,4,0.5,1971,,2000070,Cardamine hirsuta/flexuosa
14,14,4,0.5,1971,,920513,Circaea lutetiana
14,14,4,0.5,1971,,9202249,Callitriche seedling/sp
14,14,5,0.5,1971,,910665,Dryopteris filix-mas
14,14,5,0.5,1971,,9201495,Poa annua
14,14,5,0.5,1971,,9202012,Stellaria media
14,14,5,0.5,1971,,9202126,Urtica dioica
14,14,1,100,2000,,9205194,Rhododendron spp.
14,14,5,0.5,2000,,9201728,Rubus fruticosus agg.
14,15,1,0.5,1971,,9201023,Ilex aquifolium
14,15,2,1,1971,,920513,Circaea lutetiana
14,15,2,0.5,1971,,200001583,Dryopteris dilatata/carthusiana
14,15,2,0.5,1971,,920841,Fraxinus excelsior (c)
14,15,5,0.5,1971,,9201728,Rubus fruticosus agg.
14,15,4,0.5,2000,,9201728,Rubus fruticosus agg.
14,15,5,0.5,2000,,920952,Hedera helix
14,15,5,0.5,2000,b,810747,Diplophyllum albicans
14,16,3,25,1971,,9201728,Rubus fruticosus agg.
14,16,4,0.5,1971,,920513,Circaea lutetiana
14,16,4,0.5,1971,,920841,Fraxinus excelsior (c)
14,16,5,0.5,1971,,92046,Ajuga reptans
14,16,5,0.5,1971,,200001583,Dryopteris dilatata/carthusiana
14,16,1,0.5,2000,,9205,Acer pseudoplatanus
14,16,1,70,2000,,9201728,Rubus fruticosus agg.
14,16,2,1,2000,,200001583,Dryopteris dilatata/carthusiana
14,16,2,0.5,2000,,9201947,Solanum dulcamara
14,16,4,0.5,2000,,920569,Crataegus monogyna
