Species,LeafLength,LeafWidth,WidestPoint,Angle,LeafRatio,WidestPercent,Lobing,Veins,FruitLength,FruitWidth,FruitRatio
Anglica,80,59,43,45,1.36,0.54,0.19,18,10.8,11.6,0.931
Anglica,65,47,32,38,1.38,0.49,0.27,21,12.2,12.4,0.984
Anglica,78,56,42,34,1.39,0.54,0.30,18,11.6,12,0.967
Anglica,72,52,32,38,1.38,0.44,0.24,18,10.2,10.6,0.962
Anglica,77,51,44,34,1.51,0.57,0.24,19,12.2,11.4,1.070
Anglica,92,65,49,36,1.42,0.53,0.31,21,11.2,11.2,1.000
Anglica,83,58,37,38,1.43,0.45,0.32,20,10.4,11,0.945
Anglica,93,60,50,38,1.55,0.54,0.09,22,10.6,10.8,0.981
Anglica,108,76,56,41,1.42,0.52,0.15,15,9.6,10.4,0.923
Anglica,96,64,54,39,1.50,0.56,0.12,17,10.2,11.2,0.911
Anglica,62,42,38,37,1.48,0.61,0.18,16,10,11,0.909
Anglica,62,41,34,36,1.51,0.55,0.14,15,10.2,11.2,0.911
Anglica,78,57,42,33,1.37,0.54,0.15,16,9.8,11,0.891
Anglica,74,56,43,34,1.32,0.58,0.11,16,10.6,11.8,0.898
Anglica,80,49,45,33,1.63,0.56,0.06,14,11,12,0.917
Anglica,77,55,41,29,1.40,0.53,0.14,17,8.9,10,0.890
Anglica,62,42,36,32,1.48,0.58,0.13,14,10,11,0.909
Anglica,86,58,50,30,1.48,0.58,0.14,15,10.6,11.4,0.930
Anglica,76,52,37,38,1.46,0.49,0.09,18,9.8,10.4,0.942
Anglica,82,57,45,35,1.44,0.55,0.09,16,9.4,11,0.855
Anglica,75,52,40,40,1.44,0.53,0.18,19,10.4,11,0.945
Anglica,74,49,42,38,1.51,0.57,0.21,14,9,10.4,0.865
Anglica,92,67,53,40,1.37,0.58,0.09,14,11.8,11.6,1.017
Anglica,73,60,42,38,1.22,0.58,0.23,18,10,10.4,0.962
Anglica,81,50,43,34,1.62,0.53,0.18,17,10.6,10.8,0.981
Anglica,92,60,54,39,1.53,0.59,0.22,18,11,12.2,0.902
Anglica,81,56,50,37,1.45,0.62,0.29,18,11.2,13,0.862
Anglica,94,64,53,39,1.47,0.56,0.09,21,9.8,10.6,0.925
Anglica,88,55,41,39,1.60,0.47,0.22,20,11.4,12,0.950
Anglica,108,90,53,34,1.20,0.49,0.14,19,10.4,11,0.945
Anglica,121,81,64,39,1.49,0.53,0.17,19,11.6,13,0.892
Anglica,117,86,61,44,1.36,0.52,0.08,24,11.6,13.4,0.866
Anglica,106,85,55,36,1.25,0.52,0.18,20,10.6,11,0.964
Anglica,96,55,51,35,1.75,0.53,0.23,19,12.2,13.6,0.897
Anglica,92,64,49,35,1.44,0.53,0.17,20,11,12,0.917
Anglica,93,72,35,35,1.29,0.38,0.17,21,11.6,13.2,0.879
Anglica,104,65,46,41,1.60,0.44,0.14,21,10.4,11,0.945
Anglica,108,80,52,38,1.35,0.48,0.12,20,10.4,11,0.945
Anglica,111,71,59,35,1.56,0.53,0.13,20,10.6,11.2,0.946
Anglica,101,70,54,36,1.44,0.53,0.20,22,10.4,11,0.945
Anglica,97,70,42,37,1.39,0.43,0.19,22,10.6,12,0.883
Anglica,106,74,56,42,1.43,0.53,0.23,20,10.2,11,0.927
Anglica,104,60,49,40,1.73,0.47,0.21,20,11,12,0.917
Anglica,106,59,56,44,1.80,0.53,0.18,18,11,12,0.92
Anglica,96,65,56,42,1.48,0.58,0.13,21,12,13.5,0.89
Anglica,109,83,46,40,1.31,0.42,0.17,21,11.5,13.5,0.85
Anglica,117,82,51,31,1.43,0.44,0.12,20,11,12,0.92
Anglica,87,66,50,30,1.32,0.57,0.16,19,12,12.5,0.96
Anglica,85,63,42,35,1.35,0.49,0.11,20,12,12.5,0.96
Anglica,121,85,59,32,1.42,0.49,0.21,20,12,12.5,0.96
Anglica,125,88,78,36,1.42,0.62,0.13,17,11.5,13,0.88
Anglica,97,54,59,36,1.80,0.61,0.25,24,11.5,13.5,0.85
Anglica,90,61,55,36,1.48,0.61,0.12,20,11.5,13,0.88
Anglica,92,64,55,35,1.44,0.60,0.20,23,12,12,1.00
Anglica,97,65,41,33,1.49,0.42,0.17,23,11,12.5,0.88
Anglica,109,89,59,40,1.22,0.54,0.24,22,12,12,1.00
Anglica,119,89,64,41,1.34,0.54,0.20,20,12.5,14,0.89
Anglica,100,69,60,31,1.45,0.60,0.18,19,11,13,0.85
Anglica,80,58,45,31,1.38,0.56,0.18,20,12.5,14,0.89
Anglica,71,50,35,30,1.42,0.49,0.30,23,12,13,0.92
Anglica,100,72,52,31,1.39,0.52,0.22,23,12,13,0.92
Anglica,98,62,42,39,1.58,0.43,0.24,18,12,13,0.92
Anglica,108,68,59,35,1.59,0.55,0.16,21,12,13,0.92
Anglica,77,48,47,36,1.60,0.61,0.17,21,13,13,1.00
Anglica,98,62,47,31,1.58,0.48,0.15,18,13,13,1.00
Anglica,98,73,69,32,1.34,0.70,0.09,19,10.5,11,0.95
Anglica,90,63,51,35,1.43,0.57,0.22,23,10.5,12,0.88
Anglica,82,57,40,43,1.44,0.49,0.17,23,10,11.5,0.87
Anglica,123,77,70,29,1.60,0.57,0.23,18,10,11.5,0.87
Anglica,109,78,53,34,1.40,0.49,0.17,18,10,11,0.91
Anglica,80,55,41,41,1.45,0.51,0.26,22,10,11,0.91
Anglica,72,54,39,35,1.33,0.54,0.23,20,10,11,0.91
Anglica,105,59,59,35,1.78,0.56,0.13,21,12,12,1.00
Anglica,110,74,55,45,1.49,0.50,0.15,18,11,12,0.92
Anglica,95,74,46,44,1.28,0.48,0.14,18,11,11,1.00
Anglica,93,60,45,28,1.55,0.48,0.14,18,11,13,0.85
Anglica,73,49,34,33,1.49,0.47,0.26,21,11,14,0.79
Anglica,104,70,49,38,1.49,0.47,0.19,22,10,14,0.71
Anglica,94,81,50,30,1.16,0.53,0.24,23,12,15,0.80
Anglica,89,53,42,35,1.68,0.47,0.25,20,11,13.5,0.81
Anglica,94,50,51,41,1.88,0.54,0.15,16,12,13,0.92
Anglica,87,61,31,39,1.43,0.36,0.14,20,11.5,13,0.88
Anglica,75,47,39,44,1.60,0.52,0.17,19,12,14,0.86
Anglica,101,70,46,45,1.44,0.46,0.23,20,11,13,0.85
Anglica,90,55,42,32,1.64,0.47,0.17,19,10,10,1.00
Anglica,85,60,41,38,1.42,0.48,0.22,21,9,10,0.90
Anglica,102,64,52,39,1.59,0.51,0.13,19,9,10,0.90
Anglica,112,57,61,41,1.96,0.54,0.18,17,11,9,1.22
Anglica,93,74,51,34,1.26,0.55,0.18,22,10.5,11,0.95
Anglica,99,70,43,36,1.41,0.43,0.19,23,10,10,1.00
Anglica,113,86,56,34,1.31,0.50,0.20,20,10,10,1.00
Anglica,104,59,60,31,1.76,0.58,0.13,20,10,10,1.00
Anglica,91,68,50,40,1.34,0.55,0.17,24,11.5,14,0.82
Anglica,87,62,52,31,1.40,0.60,0.28,22,10.5,12,0.88
Anglica,105,75,57,35,1.40,0.54,0.18,18,11,13,0.85
Anglica,101,70,55,42,1.44,0.54,0.24,20,11,12,0.92
Anglica,97,71,50,34,1.37,0.52,0.21,21,10,12,0.83
Anglica,102,69,59,38,1.48,0.58,0.22,20,11,11,1.00
Anglica,116,77,66,33,1.51,0.57,0.18,25,9.5,11.5,0.83
